time,open,high,low,close
2020-10-20,17321,17425,17256,17321
2020-10-21,17359,17467,17338,17344
2020-10-22,17373,17435,17321,17321
2020-10-23,17346,17478,17343,17475
2020-10-26,17467,17467,17312,17352
2020-10-27,17350,17371,17234,17234
2020-10-28,17284,17365,17169,17169
2020-10-29,17345,17359,17055,17273
2020-10-30,17134,17266,17043,17099
2020-11-02,17105,17171,17003,17031
2020-11-03,17033,17136,16937,17108
2020-11-04,17082,17152,16835,17067
2020-11-05,17066,17087,16841,17001
2020-11-06,16998,17081,16796,16863
2020-11-09,16865,17027,16595,16602
2020-11-10,16605,16749,16564,16594
2020-11-11,16594,16754,16487,16580
2020-11-12,16601,16774,16586,16762
2020-11-13,16705,16824,16705,16762
2020-11-16,16758,16854,16661,16717
2020-11-17,16705,16774,16658,16661
2020-11-18,16659,16776,16659,16670
2020-11-19,16686,16859,16664,16797
2020-11-20,16802,16887,16801,16864
2020-11-23,16863,16866,16744,16744
2020-11-24,16743,16889,16743,16824
2020-11-25,16825,16899,16825,16836
2020-11-26,16840,16888,16789,16789
2020-11-27,16788,16911,16772,16910
2020-11-30,16912,16985,16846,16905
2020-12-01,16909,17082,16852,17020
2020-12-02,17046,17162,17030,17053
2020-12-03,17103,17248,17103,17198
2020-12-04,17117,17225,17086,17086
2020-12-07,17086,17214,17074,17074
2020-12-08,17072,17170,17072,17121
2020-12-09,17069,17161,17030,17043
2020-12-10,17107,17155,17042,17147
2020-12-11,17113,17171,17043,17043
2020-12-14,17078,17235,17078,17115
2020-12-15,17108,17255,17108,17189
2020-12-16,17189,17267,17165,17233
2020-12-17,17232,17361,17232,17296
2020-12-18,17293,17355,17288,17335
2020-12-21,17335,17389,17220,17343
2020-12-22,17343,17433,17265,17359
2020-12-23,17358,17409,17277,17405
2020-12-24,17293,17437,17265,17388
2020-12-25,17294,17418,17294,17416
2020-12-28,17397,17442,17270,17282
2020-12-29,17279,17492,17279,17303
2020-12-30,17299,17560,17226,17273
2020-12-31,17266,17570,17024,17444
2021-01-01,17443,17443,17165,17165
2021-01-04,17165,17270,16993,17015
2021-01-05,17006,17143,17006,17103
2021-01-06,17105,17188,17079,17162
2021-01-07,17120,17325,17075,17294
2021-01-08,17059,17272,17026,17026
2021-01-11,17026,17303,16988,17287
2021-01-12,17153,17323,17153,17238
2021-01-13,17238,17377,17083,17083
2021-01-14,17080,17158,17026,17075
2021-01-15,17074,17155,16920,16920
2021-01-18,16981,17051,16931,17026
2021-01-19,16981,17102,16981,17049
2021-01-20,17046,17101,16965,16975
2021-01-21,16975,17073,16974,17025
2021-01-22,17074,17179,17042,17073
2021-01-25,17072,17142,17013,17013
2021-01-26,17009,17169,17009,17093
2021-01-27,17095,17135,17007,17007
2021-01-28,17006,17130,17001,17046
2021-01-29,17042,17095,16945,17018
2021-02-01,17020,17070,16898,16898
2021-02-02,16902,16965,16852,16881
2021-02-03,16882,16911,16833,16846
2021-02-04,16845,16876,16760,16760
2021-02-05,16765,16936,16765,16936
2021-02-08,16936,16936,16843,16860
2021-02-09,16860,16959,16860,16953
2021-02-10,16950,16973,16932,16934
2021-02-11,16935,16997,16935,16941
2021-02-12,16939,16980,16916,16922
2021-02-15,16924,16992,16861,16878
2021-02-16,16867,16974,16807,16848
2021-02-17,16851,17001,16808,16872
2021-02-18,16872,17021,16872,16949
2021-02-19,16950,17095,16950,17033
2021-02-22,17033,17203,17033,17150
2021-02-23,17136,17181,17107,17111
2021-02-24,17112,17161,17061,17133
2021-02-25,17132,17472,17132,17166
2021-02-26,17168,17402,17111,17207
2021-03-01,17207,17285,17149,17165
2021-03-02,17167,17309,17114,17309
2021-03-03,17311,17311,17174,17174
2021-03-04,17177,17278,17070,17070
2021-03-05,17065,17214,17021,17021
2021-03-08,17023,17235,17023,17036
2021-03-09,17005,17219,17005,17109
2021-03-10,17125,17214,17108,17160
2021-03-11,17173,17287,17088,17141
2021-03-12,17250,17284,17129,17188
2021-03-15,17185,17218,17135,17178
2021-03-16,17170,17211,17138,17144
2021-03-17,17165,17317,17141,17316
2021-03-18,17319,17320,17162,17162
2021-03-19,17171,17230,17122,17228
2021-03-22,17193,17258,17116,17247
2021-03-23,17245,17249,17049,17049
2021-03-24,17035,17121,17031,17031
2021-03-25,17070,17089,16968,16968
2021-03-26,16978,17037,16975,16994
2021-03-29,17018,17033,16986,16986
2021-03-30,16991,17064,16920,16920
2021-03-31,16920,17145,16920,17026
2021-04-01,17023,17117,16951,17097
2021-04-02,17006,17141,16995,17073
2021-04-05,17139,17165,16996,17165
2021-04-06,17145,17216,17124,17142
2021-04-07,17143,17328,17143,17193
2021-04-08,17137,17399,17137,17311
2021-04-09,17305,17382,17305,17348
2021-04-12,17348,17427,17334,17427
2021-04-13,17428,17505,17384,17500
2021-04-14,17450,17531,17450,17484
2021-04-15,17529,17538,17427,17524
2021-04-16,17524,17545,17409,17480
2021-04-19,17463,17528,17372,17499
2021-04-20,17536,17542,17442,17442
2021-04-21,17452,17496,17452,17477
2021-04-22,17500,17524,17437,17437
2021-04-23,17436,17592,17436,17592
2021-04-26,17595,17595,17475,17499
2021-04-27,17505,17540,17489,17525
2021-04-28,17523,17595,17502,17585
2021-04-29,17591,17617,17462,17536
2021-04-30,17508,17533,17360,17369
2021-05-03,17369,17433,17361,17433
2021-05-04,17429,17429,17332,17356
2021-05-05,17358,17359,17285,17319
2021-05-06,17330,17334,17190,17265
2021-05-07,17319,17376,17133,17375
2021-05-10,17389,17389,17170,17219
2021-05-11,17222,17282,17222,17240
2021-05-12,17246,17316,17140,17140
2021-05-13,17146,17338,17141,17141
2021-05-14,17147,17354,17147,17244
2021-05-17,17233,17427,17233,17348
2021-05-18,17351,17504,17351,17435
2021-05-19,17474,17604,17379,17379
2021-05-20,17418,17601,17396,17600
2021-05-21,17601,17601,17465,17504
2021-05-24,17503,17551,17467,17542
2021-05-25,17541,17574,17516,17541
2021-05-26,17545,17558,17393,17461
2021-05-27,17409,17474,17409,17450
2021-05-28,17434,17472,17406,17406
2021-05-31,17437,17472,17412,17469
2021-06-01,17473,17480,17411,17432
2021-06-02,17447,17466,17385,17428
2021-06-03,17427,17447,17312,17312
2021-06-04,17336,17428,17328,17382
2021-06-07,17382,17410,17332,17380
2021-06-08,17389,17392,17341,17341
2021-06-09,17358,17394,17352,17352
2021-06-10,17361,17378,17325,17336
2021-06-11,17329,17345,17168,17168
2021-06-14,17171,17288,17171,17203
2021-06-15,17234,17292,17220,17242
2021-06-16,17269,17323,17086,17093
2021-06-17,17085,17291,17076,17084
2021-06-18,17116,17209,17046,17081
2021-06-21,17070,17219,17064,17218
2021-06-22,17212,17258,17144,17211
2021-06-23,17212,17288,17198,17232
2021-06-24,17207,17274,17207,17217
2021-06-25,17213,17279,17206,17206
2021-06-28,17236,17319,17198,17215
2021-06-29,17217,17354,17217,17245
2021-06-30,17243,17303,17182,17182
2021-07-01,17240,17286,17176,17176
2021-07-02,17217,17245,17162,17234
2021-07-05,17276,17280,17163,17163
2021-07-06,17163,17280,17095,17095
2021-07-07,17098,17155,17070,17070
2021-07-08,17055,17282,17055,17197
2021-07-09,17132,17274,17132,17270
2021-07-12,17239,17270,17173,17179
2021-07-13,17180,17203,17041,17060
2021-07-14,17058,17156,17037,17131
2021-07-15,17149,17192,17096,17096
2021-07-16,17128,17155,17054,17104
2021-07-19,17133,17228,17102,17133
2021-07-20,17131,17162,17103,17103
2021-07-21,17104,17159,17071,17143
2021-07-22,17139,17140,17036,17036
2021-07-23,17072,17079,17043,17050
2021-07-26,17065,17114,17061,17085
